raw_question,choices,question,question_with_choices,source,link
The only social responsibility of a company should be to deliver a profit to its shareholders.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The only social responsibility of a company should be to deliver a profit to its shareholders.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The only social responsibility of a company should be to deliver a profit to its shareholders. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
The rich are too highly taxed.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The rich are too highly taxed.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The rich are too highly taxed. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Those with the ability to pay should have access to higher standards of medical care.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Those with the ability to pay should have access to higher standards of medical care.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Those with the ability to pay should have access to higher standards of medical care. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Governments should penalise businesses that mislead the public.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Governments should penalise businesses that mislead the public.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Governments should penalise businesses that mislead the public. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",A genuine free market requires restrictions on the ability of predator multinationals to create monopolies. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"Abortion, when the woman’s life is not threatened, should always be illegal.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Abortion, when the woman’s life is not threatened, should always be illegal.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Abortion, when the woman’s life is not threatened, should always be illegal. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
All authority should be questioned.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""All authority should be questioned.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",All authority should be questioned. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
An eye for an eye and a tooth for a tooth.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""An eye for an eye and a tooth for a tooth.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",An eye for an eye and a tooth for a tooth. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Schools should not make classroom attendance compulsory.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Schools should not make classroom attendance compulsory.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Schools should not make classroom attendance compulsory. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
Good parents sometimes have to spank their children.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Good parents sometimes have to spank their children.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Good parents sometimes have to spank their children. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
It’s natural for children to keep some secrets from their parents.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It’s natural for children to keep some secrets from their parents.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It’s natural for children to keep some secrets from their parents. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Possessing marijuana for personal use should not be a criminal offence.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Possessing marijuana for personal use should not be a criminal offence.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Possessing marijuana for personal use should not be a criminal offence. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
The prime function of schooling should be to equip the future generation to find jobs.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The prime function of schooling should be to equip the future generation to find jobs.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The prime function of schooling should be to equip the future generation to find jobs. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
People with serious inheritable disabilities should not be allowed to reproduce.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""People with serious inheritable disabilities should not be allowed to reproduce.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",People with serious inheritable disabilities should not be allowed to reproduce. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
The most important thing for children to learn is to accept discipline.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The most important thing for children to learn is to accept discipline.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The most important thing for children to learn is to accept discipline. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
There are no savage and civilised peoples; there are only different cultures.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""There are no savage and civilised peoples; there are only different cultures.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",There are no savage and civilised peoples; there are only different cultures. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"Those who are able to work, and refuse the opportunity, should not expect society’s support.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Those who are able to work, and refuse the opportunity, should not expect society’s support.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Those who are able to work, and refuse the opportunity, should not expect society’s support. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
First-generation immigrants can never be fully integrated within their new country.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""First-generation immigrants can never be fully integrated within their new country.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",First-generation immigrants can never be fully integrated within their new country. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"What’s good for the most successful corporations is always, ultimately, good for all of us.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""What’s good for the most successful corporations is always, ultimately, good for all of us.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","What’s good for the most successful corporations is always, ultimately, good for all of us. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"No broadcasting institution, however independent its content, should receive public funding.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""No broadcasting institution, however independent its content, should receive public funding.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","No broadcasting institution, however independent its content, should receive public funding. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
Our civil liberties are being excessively curbed in the name of counter-terrorism.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Our civil liberties are being excessively curbed in the name of counter-terrorism.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Our civil liberties are being excessively curbed in the name of counter-terrorism. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Although the electronic age makes official surveillance easier, only wrongdoers need to be worried. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
The death penalty should be an option for the most serious crimes.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The death penalty should be an option for the most serious crimes.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The death penalty should be an option for the most serious crimes. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""In a civilised society, one must always have people above to be obeyed and people below to be commanded.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","In a civilised society, one must always have people above to be obeyed and people below to be commanded. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
Abstract art that doesn’t represent anything shouldn’t be considered art at all.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Abstract art that doesn’t represent anything shouldn’t be considered art at all.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Abstract art that doesn’t represent anything shouldn’t be considered art at all. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"In criminal justice, punishment should be more important than rehabilitation.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""In criminal justice, punishment should be more important than rehabilitation.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","In criminal justice, punishment should be more important than rehabilitation. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
It is a waste of time to try to rehabilitate some criminals.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is a waste of time to try to rehabilitate some criminals.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is a waste of time to try to rehabilitate some criminals. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
The businessperson and the manufacturer are more important than the writer and the artist.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The businessperson and the manufacturer are more important than the writer and the artist.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The businessperson and the manufacturer are more important than the writer and the artist. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"Mothers may have careers, but their first duty is to be homemakers.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Mothers may have careers, but their first duty is to be homemakers.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Mothers may have careers, but their first duty is to be homemakers. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
Multinational companies are unethically exploiting the plant genetic resources of developing countries.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Multinational companies are unethically exploiting the plant genetic resources of developing countries.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Multinational companies are unethically exploiting the plant genetic resources of developing countries. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Making peace with the establishment is an important aspect of maturity.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Making peace with the establishment is an important aspect of maturity.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Making peace with the establishment is an important aspect of maturity. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Astrology accurately explains many things.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Astrology accurately explains many things.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Astrology accurately explains many things. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
You cannot be moral without being religious.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""You cannot be moral without being religious.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",You cannot be moral without being religious. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Charity is better than social security as a means of helping the genuinely disadvantaged.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Charity is better than social security as a means of helping the genuinely disadvantaged.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Charity is better than social security as a means of helping the genuinely disadvantaged. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Some people are naturally unlucky.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Some people are naturally unlucky.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Some people are naturally unlucky. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
It is important that my child’s school instills religious values.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is important that my child’s school instills religious values.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is important that my child’s school instills religious values. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Sex outside marriage is usually immoral.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Sex outside marriage is usually immoral.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Sex outside marriage is usually immoral. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"Pornography, depicting consenting adults, should be legal for the adult population.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Pornography, depicting consenting adults, should be legal for the adult population.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Pornography, depicting consenting adults, should be legal for the adult population. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
What goes on in a private bedroom between consenting adults is no business of the state.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""What goes on in a private bedroom between consenting adults is no business of the state.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",What goes on in a private bedroom between consenting adults is no business of the state. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
No one can feel naturally homosexual.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""No one can feel naturally homosexual.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",No one can feel naturally homosexual. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
